product,year,filename,url,rel_path,status,bytes,note
data-tnf,2015,150040200sc236dss43_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150040200sc236dss43_tnf.xml,data-tnf/2015/150040200sc236dss43_tnf.xml,download,714048,ok
data-tnf,2015,150042025sc236dss34_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150042025sc236dss34_tnf.dat,data-tnf/2015/150042025sc236dss34_tnf.dat,download,11192580,ok
data-tnf,2015,150042025sc236dss34_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150042025sc236dss34_tnf.xml,data-tnf/2015/150042025sc236dss34_tnf.xml,download,714046,ok
data-tnf,2015,150050315sc236dss34_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150050315sc236dss34_tnf.dat,data-tnf/2015/150050315sc236dss34_tnf.dat,download,25133382,ok
data-tnf,2015,150050315sc236dss34_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150050315sc236dss34_tnf.xml,data-tnf/2015/150050315sc236dss34_tnf.xml,download,714048,ok
data-tnf,2015,150060515sc236dss34_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150060515sc236dss34_tnf.dat,data-tnf/2015/150060515sc236dss34_tnf.dat,download,9170156,ok
data-tnf,2015,150060515sc236dss34_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150060515sc236dss34_tnf.xml,data-tnf/2015/150060515sc236dss34_tnf.xml,download,714038,ok
data-tnf,2015,150062035sc236dss35_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150062035sc236dss35_tnf.dat,data-tnf/2015/150062035sc236dss35_tnf.dat,download,11604374,ok
data-tnf,2015,150062035sc236dss35_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150062035sc236dss35_tnf.xml,data-tnf/2015/150062035sc236dss35_tnf.xml,download,714046,ok
data-tnf,2015,150072035sc236dss35_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150072035sc236dss35_tnf.dat,data-tnf/2015/150072035sc236dss35_tnf.dat,download,11798352,ok
data-tnf,2015,150072035sc236dss35_tnf.xml,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150072035sc236dss35_tnf.xml,data-tnf/2015/150072035sc236dss35_tnf.xml,download,714046,ok
data-tnf,2015,150081255sc236dss65_tnf.dat,https://pds-geosciences.wustl.edu/messenger/urn-nasa-pds-mess-rs-raw/data-tnf/2015/150081255sc236dss65_tnf.dat,data-tnf/2015/150081255sc236dss65_tnf.dat,download,2057556,ok
