T_K,alpha_1e-8_per_K,alpha_per_K,sigma_fit_1e-8_per_K,sigma_fit_per_K
398.0,323.80417113293043,3.2380417113293043e-06,0.5,5e-09
399.0,324.2727480132421,3.242727480132421e-06,0.5,5e-09
400.0,324.73875000000004,3.2473875000000004e-06,0.5,5e-09
401.0,325.20219624280884,3.2520219624280885e-06,0.5,5e-09
402.0,325.66310572013083,3.256631057201308e-06,0.5,5e-09
403.0,326.121497240944,3.26121497240944e-06,0.5,5e-09
404.0,326.5773894463851,3.265773894463851e-06,0.5,5e-09
405.0,327.0308008113789,3.2703080081137892e-06,0.5,5e-09
406.0,327.4817496462524,3.2748174964625244e-06,0.5,5e-09
407.0,327.9302540983353,3.279302540983353e-06,0.5,5e-09
408.0,328.37633215354583,3.2837633215354583e-06,0.5,5e-09
409.0,328.8200016379625,3.288200016379625e-06,0.5,5e-09
410.0,329.26128021938166,3.2926128021938165e-06,0.5,5e-09
411.0,329.70018540886053,3.2970018540886053e-06,0.5,5e-09
412.0,330.1367345622466,3.301367345622466e-06,0.5,5e-09
413.0,330.5709448816926,3.305709448816926e-06,0.5,5e-09
414.0,331.00283341715766,3.310028334171577e-06,0.5,5e-09
415.0,331.4324170678942,3.314324170678942e-06,0.5,5e-09
416.0,331.8597125839213,3.318597125839213e-06,0.5,5e-09
417.0,332.28473656748395,3.3228473656748396e-06,0.5,5e-09
418.0,332.70750547449876,3.3270750547449877e-06,0.5,5e-09
419.0,333.1280356159856,3.331280356159856e-06,0.5,5e-09
420.0,333.54634315948607,3.3354634315948607e-06,0.5,5e-09
421.0,333.96244413046793,3.3396244413046792e-06,0.5,5e-09
422.0,334.3763544137167,3.3437635441371668e-06,0.5,5e-09
423.0,334.788089754713,3.3478808975471297e-06,0.5,5e-09
424.0,335.1976657609973,3.351976657609973e-06,0.5,5e-09
425.0,335.60509790352125,3.3560509790352125e-06,0.5,5e-09
426.0,336.01040151798554,3.3601040151798557e-06,0.5,5e-09
