t_s,env_h1,env_v1,selected,ratio_h1_v1_selected
-0.043652296,2.77972982e-10,5.56201716e-09,1,0.049977009
-0.043408155,2.54757115e-10,5.50160748e-09,1,0.046305942
-0.043164015,2.22860445e-10,5.40610759e-09,1,0.041223827
-0.042919874,1.85139953e-10,5.3428378e-09,0,
-0.042675734,1.42319278e-10,5.25772899e-09,0,
-0.042431593,9.8477745e-11,5.20259962e-09,0,
-0.042187452,5.47083211e-11,5.14290323e-09,0,
-0.041943312,2.22113021e-11,5.10335824e-09,0,
-0.041699171,3.72687752e-11,5.07696491e-09,0,
-0.04145503,6.74067439e-11,5.0553412e-09,0,
-0.04121089,9.29880667e-11,5.06170204e-09,0,
-0.040966749,1.10960496e-10,5.05554451e-09,0,
-0.040722609,1.20945183e-10,5.08675031e-09,0,
-0.040478468,1.23055069e-10,5.09075796e-09,0,
-0.040234327,1.17649019e-10,5.13445693e-09,0,
-0.039990187,1.07187051e-10,5.14306427e-09,0,
-0.039746046,9.37699428e-11,5.18618226e-09,0,
-0.039501905,8.3900938e-11,5.19565594e-09,0,
-0.039257765,8.35927627e-11,5.22786722e-09,0,
-0.039013624,9.71507093e-11,5.23729276e-09,0,
-0.038769484,1.2038504e-10,5.25344217e-09,0,
-0.038525343,1.4817585e-10,5.26458839e-09,0,
-0.038281202,1.75933124e-10,5.26558685e-09,0,
-0.038037062,2.01586893e-10,5.28198006e-09,0,
-0.037792921,2.2222041e-10,5.27403291e-09,1,0.042134817
-0.03754878,2.37870055e-10,5.2995809e-09,1,0.044884692
-0.03730464,2.45900492e-10,5.29194929e-09,1,0.046466903
-0.037060499,2.47867921e-10,5.32929952e-09,1,0.046510413
-0.036816359,2.41301978e-10,5.33111902e-09,1,0.045262913
-0.036572218,2.28833188e-10,5.37991015e-09,1,0.04253476
-0.036328077,2.08399074e-10,5.39689358e-09,0,
-0.036083937,1.83138538e-10,5.45233675e-09,0,
-0.035839796,1.5171741e-10,5.48438209e-09,0,
-0.035595655,1.1724815e-10,5.5369382e-09,0,
-0.035351515,7.95428571e-11,5.57751369e-09,0,
-0.035107374,4.27348943e-11,5.61429383e-09,0,
-0.034863234,2.27039183e-11,5.65186534e-09,0,
-0.034619093,5.09147245e-11,5.6596557e-09,0,
-0.034374952,8.68310484e-11,5.68067023e-09,0,
-0.034130812,1.22789903e-10,5.64970086e-09,0,
-0.033886671,1.54270657e-10,5.64220862e-09,0,
-0.03364253,1.82985256e-10,5.56948854e-09,0,
-0.03339839,2.05311187e-10,5.52648328e-09,0,
-0.033154249,2.23612532e-10,5.41773722e-09,1,0.041274156
-0.032910109,2.3474845e-10,5.33951102e-09,1,0.04396441
-0.032665968,2.41064127e-10,5.20919103e-09,1,0.046276692
-0.032421827,2.40430705e-10,5.10424643e-09,1,0.047104055
-0.032177687,2.3461911e-10,4.97353299e-09,1,0.04717353
-0.031933546,2.23002152e-10,4.85783006e-09,0,
-0.031689405,2.06357582e-10,4.75091674e-09,0,
-0.031445265,1.85823049e-10,4.64546698e-09,0,
-0.031201124,1.60997985e-10,4.5847569e-09,0,
-0.030956984,1.3471471e-10,4.51182209e-09,0,
-0.030712843,1.0550074e-10,4.51298441e-09,0,
-0.030468702,7.74698833e-11,4.49143294e-09,0,
-0.030224562,4.8528017e-11,4.55950232e-09,0,
-0.029980421,2.39857784e-11,4.60024545e-09,0,
-0.02973628,1.07060358e-11,4.72783212e-09,0,
-0.02949214,2.55772114e-11,4.83052782e-09,0,
-0.029247999,4.08224053e-11,4.9985915e-09,0,
-0.029003859,5.15654133e-11,5.15063372e-09,0,
-0.028759718,5.68338512e-11,5.33159232e-09,0,
-0.028515577,5.76453093e-11,5.50982379e-09,0,
-0.028271437,5.22620036e-11,5.67247564e-09,0,
-0.028027296,4.50381214e-11,5.84742205e-09,0,
-0.027783155,3.54948694e-11,5.96299568e-09,0,
-0.027539015,3.46098146e-11,6.1048547e-09,0,
-0.027294874,4.64478434e-11,6.15313747e-09,0,
-0.027050734,6.58415742e-11,6.23824647e-09,0,
-0.026806593,9.07016431e-11,6.21239177e-09,0,
-0.026562452,1.13826426e-10,6.22854683e-09,0,
-0.026318312,1.37738389e-10,6.13715082e-09,0,
-0.026074171,1.56875216e-10,6.08615127e-09,0,
-0.02583003,1.73146548e-10,5.9516555e-09,0,
-0.02558589,1.83454001e-10,5.84802136e-09,0,
-0.025341749,1.87716882e-10,5.70147292e-09,0,
-0.025097609,1.86154493e-10,5.56764246e-09,0,
-0.024853468,1.76377013e-10,5.44128688e-09,0,
-0.024609327,1.6205265e-10,5.30163144e-09,0,
-0.024365187,1.38953075e-10,5.22214237e-09,0,
-0.024121046,1.13510916e-10,5.09945226e-09,0,
-0.023876905,8.12758911e-11,5.08416501e-09,0,
-0.023632765,5.11019753e-11,5.00015165e-09,0,
-0.023388624,3.26080493e-11,5.05546204e-09,0,
-0.023144484,4.90788236e-11,5.03120445e-09,0,
-0.022900343,8.37291805e-11,5.14991845e-09,0,
-0.022656202,1.16606992e-10,5.20011437e-09,0,
-0.022412062,1.48502018e-10,5.3583241e-09,0,
-0.022167921,1.75115055e-10,5.48113722e-09,0,
-0.02192378,1.95557951e-10,5.64061758e-09,0,
-0.02167964,2.10796491e-10,5.81345175e-09,1,0.036260126
-0.021435499,2.16489381e-10,5.93220764e-09,1,0.036493898
-0.021191359,2.1841006e-10,6.11887663e-09,1,0.03569447
-0.020947218,2.09393287e-10,6.1644891e-09,1,0.033967663
-0.020703077,1.99336297e-10,6.32835085e-09,1,0.031498933
-0.020458937,1.79504158e-10,6.28719721e-09,0,
-0.020214796,1.63231837e-10,6.4016046e-09,0,
-0.019970655,1.41727352e-10,6.2803838e-09,0,
-0.019726515,1.31675649e-10,6.33085687e-09,0,
-0.019482374,1.23447498e-10,6.15001919e-09,0,
-0.019238234,1.32828227e-10,6.12664947e-09,0,
-0.018994093,1.41678373e-10,5.90859006e-09,0,
-0.018749952,1.62659072e-10,5.79192589e-09,0,
-0.018505812,1.73312277e-10,5.5510173e-09,0,
-0.018261671,1.91009152e-10,5.29891438e-09,0,
-0.01801753,1.91625972e-10,5.04274014e-09,0,
-0.01777339,1.97863878e-10,4.58424876e-09,0,
-0.017529249,1.83358757e-10,4.33444517e-09,0,
-0.017285109,1.7526202e-10,3.57177027e-09,0,
-0.017040968,1.45132583e-10,3.43097126e-09,0,
-0.016796827,1.28429731e-10,2.36597078e-09,0,
-0.016552687,9.021757e-11,2.82232506e-09,0,
-0.016308546,1.61866345e-10,4.4688217e-09,0,
