session,source,n_points,max_abs_bendsun_ns,beta_source,beta_source_sigma,delta_beta_from_1,beta_all_session,beta_all_session_sigma,delta_beta_vs_session_all
20MAY06XA,1149-084,27,1.1452581368343477e+01,3.6889107060734112e+01,3.2826410258180239e+01,3.5889107060734112e+01,9.2325738013260708e+00,1.2206749153850662e+00,2.7656533259408043e+01
22MAY09XA,1149-084,68,1.1981812554125794e+01,-1.1987565699075294e+01,3.3592908703459827e+01,-1.2987565699075294e+01,5.4609783256794806e+00,3.8943244120781795e-01,-1.7448544024754774e+01
17MAY01XA,1156+295,40,2.9980768003362140e+01,8.9122565367574211e+01,2.0088764705985979e-17,8.8122565367574211e+01,1.1866902903646863e+00,6.9614570068410556e-02,8.7935875077209531e+01
18MAY01XA,1156+295,344,3.8915678326779855e+01,7.1220359983983315e+01,4.7835119956272560e+00,7.0220359983983315e+01,1.4021809170205990e+00,5.5657027442395014e-02,6.9818179066962713e+01
17MAY01XA,1213-172,75,2.9980768003362140e+01,1.2931456921808905e+02,2.2306646813168980e-18,1.2831456921808905e+02,1.1866902903646863e+00,6.9614570068410556e-02,1.2812787892772437e+02
20MAY06XA,1215+303,42,1.1452581368343477e+01,1.2720093047601097e+02,1.8426263167735481e+01,1.2620093047601097e+02,9.2325738013260708e+00,1.2206749153850662e+00,1.1796835667468490e+02
20MAY04XA,1244-255,39,1.0106397771203248e+01,4.3980999574995870e+01,0.0000000000000000e+00,4.2980999574995870e+01,8.0497082639269522e+00,2.7976357126395818e-01,3.5931291311068918e+01
18MAY01XA,1300+580,75,3.8915678326779855e+01,3.1813927143762342e+01,5.9997585054618332e+00,3.0813927143762342e+01,1.4021809170205990e+00,5.5657027442395014e-02,3.0411746226741744e+01
20MAY04XA,1324+224,189,1.0106397771203248e+01,6.6815728467370135e+01,3.1850208768249995e+00,6.5815728467370135e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.8766020203443183e+01
20MAY06XA,1330+476,48,1.1452581368343477e+01,6.5524368767678311e+01,1.0332191143414985e+01,6.4524368767678311e+01,9.2325738013260708e+00,1.2206749153850662e+00,5.6291794966352242e+01
17MAY01XA,1334-127,77,2.9980768003362140e+01,1.0445255857351866e+02,1.3841273045567373e+01,1.0345255857351866e+02,1.1866902903646863e+00,6.9614570068410556e-02,1.0326586828315398e+02
18MAY01XA,1334-127,325,3.8915678326779855e+01,1.4014628844933424e+02,2.8021241801172991e-16,1.3914628844933424e+02,1.4021809170205990e+00,5.5657027442395014e-02,1.3874410753231365e+02
20MAY04XA,1334-127,130,1.0106397771203248e+01,6.5902784879474154e+01,6.5418119912239293e-16,6.4902784879474154e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.7853076615547202e+01
22MAY09XA,1334-127,75,1.1981812554125794e+01,-1.0121360846207128e+03,6.9031049783760523e-16,-1.0131360846207128e+03,5.4609783256794806e+00,3.8943244120781795e-01,-1.0175970629463923e+03
20MAY04XA,1417+385,141,1.0106397771203248e+01,6.3221613791413667e+01,1.2742143558481676e+01,6.2221613791413667e+01,8.0497082639269522e+00,2.7976357126395818e-01,5.5171905527486715e+01
18MAY01XA,1418+546,50,3.8915678326779855e+01,4.7717309848860637e+01,3.0406217686897627e+01,4.6717309848860637e+01,1.4021809170205990e+00,5.5657027442395014e-02,4.6315128931840036e+01
20MAY04XA,1418+546,372,1.0106397771203248e+01,4.6941261234350868e+01,1.8553457149792767e+00,4.5941261234350868e+01,8.0497082639269522e+00,2.7976357126395818e-01,3.8891552970423916e+01
17MAY01XA,1424-418,21,2.9980768003362140e+01,6.3592662241118639e+01,1.2218593040890858e-18,6.2592662241118639e+01,1.1866902903646863e+00,6.9614570068410556e-02,6.2405971950753951e+01
18MAY01XA,1424-418,176,3.8915678326779855e+01,7.4461768361850503e+01,0.0000000000000000e+00,7.3461768361850503e+01,1.4021809170205990e+00,5.5657027442395014e-02,7.3059587444829901e+01
22MAY09XA,1424-418,29,1.1981812554125794e+01,4.3665529161697265e+01,1.4114070609330886e+01,4.2665529161697265e+01,5.4609783256794806e+00,3.8943244120781795e-01,3.8204550836017788e+01
18MAY01XA,1428+422,75,3.8915678326779855e+01,2.4111623173463318e+01,3.9051516257069072e+00,2.3111623173463318e+01,1.4021809170205990e+00,5.5657027442395014e-02,2.2709442256442721e+01
18MAY01XA,1502+036,131,3.8915678326779855e+01,-1.5915324312933357e+01,2.7237285137473972e+01,-1.6915324312933357e+01,1.4021809170205990e+00,5.5657027442395014e-02,-1.7317505229953955e+01
20MAY04XA,1502+036,89,1.0106397771203248e+01,5.3225526964958325e+00,1.0480118104372560e+01,4.3225526964958325e+00,8.0497082639269522e+00,2.7976357126395818e-01,-2.7271555674311196e+00
18MAY01XA,1508+572,66,3.8915678326779855e+01,1.9165604825657113e+01,1.7301900534081909e+00,1.8165604825657113e+01,1.4021809170205990e+00,5.5657027442395014e-02,1.7763423908636515e+01
18MAY01XA,1519-273,47,3.8915678326779855e+01,6.6482193140260776e+01,1.2689813727290729e+02,6.5482193140260776e+01,1.4021809170205990e+00,5.5657027442395014e-02,6.5080012223240175e+01
18MAY01XA,1546+027,317,3.8915678326779855e+01,6.9608213547927122e+01,6.1951726157753377e+00,6.8608213547927122e+01,1.4021809170205990e+00,5.5657027442395014e-02,6.8206032630906520e+01
