galaxy,distance_mpc,r_kpc,vobs_km_s,evobs_km_s,vgas_km_s,vdisk_km_s,vbul_km_s,g_obs_m_s2,g_obs_sigma_m_s2,g_bar_m_s2
NGC6503,6.26,12.86,117.0,1.0,28.13,67.04,0.0,3.44969111144665e-11,5.896907882814786e-13,7.657103889267924e-12
NGC6503,6.26,13.7,116.0,1.0,28.74,64.84,0.0,3.183060300639663e-11,5.488035001102867e-13,6.9265161560100456e-12
NGC6503,6.26,14.44,115.0,1.0,28.64,63.05,0.0,2.9680959905056597e-11,5.161906070444626e-13,6.301791496878967e-12
NGC6503,6.26,15.18,117.0,1.0,28.33,61.39,0.0,2.9224655924376754e-11,4.995667679380642e-13,5.736382051139671e-12
NGC6503,6.26,15.91,116.0,1.0,28.13,59.88,0.0,2.740913018149804e-11,4.725712100258282e-13,5.263677592110794e-12
NGC6503,6.26,16.65,115.0,2.0,28.33,58.45,0.0,2.5741324986727766e-11,8.953504343209658e-13,4.8870370680245726e-12
NGC6503,6.26,17.49,115.0,2.0,28.23,56.93,0.0,2.4505034935907223e-11,8.523490412489469e-13,4.479363535530925e-12
NGC6503,6.26,18.23,115.0,2.0,27.82,55.71,0.0,2.3510316019145218e-11,8.17750122405051e-13,4.13453475254694e-12
NGC6503,6.26,18.97,114.0,2.0,27.2,54.55,0.0,2.2201986107337358e-11,7.790170563978021e-13,3.805722544162589e-12
NGC6503,6.26,19.71,115.0,2.0,26.9,53.46,0.0,2.1744954897464092e-11,7.563462573030989e-13,3.5393647322095e-12
NGC6503,6.26,20.45,114.0,2.0,26.69,52.44,0.0,2.0595192002747663e-11,7.226383158858829e-13,3.3078656393622724e-12
NGC6503,6.26,21.29,116.0,2.0,26.49,51.35,0.0,2.0482821098526717e-11,7.063041758112661e-13,3.075058638345367e-12
NGC6503,6.26,22.03,115.0,3.0,26.18,50.44,0.0,1.945497326504845e-11,1.015042083393832e-12,2.8796143707085884e-12
NGC6503,6.26,22.76,118.0,4.0,25.87,49.61,0.0,1.982627892189075e-11,1.3441545031790337e-12,2.7051578549050935e-12
NGC6503,6.26,23.5,115.0,10.0,25.46,48.79,0.0,1.823800259697946e-11,3.1718265386051236e-12,2.535314938608726e-12
NGC6674,51.2,2.5,206.0,75.0,0.0,122.77,171.6,5.501028397074443e-10,4.0056032017532356e-10,3.6489656105152935e-10
NGC6674,51.2,7.49,285.0,8.0,0.0,218.15,99.53,3.514449903673145e-10,1.9730245073252742e-11,1.3295877207994056e-10
NGC6674,51.2,12.54,291.0,7.0,0.0,234.07,76.92,2.1884563876350743e-10,1.0528656160443656e-11,8.150033462054083e-11
NGC6674,51.2,17.45,274.0,5.0,0.0,221.55,65.21,1.3942965383055882e-10,5.088673497465651e-12,5.11074461959801e-11
NGC6674,51.2,22.47,266.0,4.0,23.41,205.25,57.46,1.0204921201776837e-10,3.0691492336170935e-12,3.4503360497226833e-11
NGC6674,51.2,27.48,255.0,2.0,35.47,190.15,51.96,7.668547063177578e-11,1.2029093432435415e-12,2.5032922313961536e-11
