T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cp_proxy_J_per_molK,Cp_proxy_kind,B_GPa,gamma_model_dimensionless,residual_1e-8_per_K,z
393.0,321.42198090007463,327.52803950258146,0.5,22.02076,janaf_interp,98.0,0.1757711126968612,6.106058602506804,12.212117205013609
394.0,321.90372560004596,327.9202742073829,0.5,22.03808,janaf_interp,98.0,0.17584330314561794,6.016548607336896,12.033097214673791
395.0,322.3827970322835,328.31061021334057,0.5,22.0554,janaf_interp,98.0,0.17591436285787984,5.92781318105707,11.85562636211414
396.0,322.85921522747117,328.6990747954695,0.5,22.07272,janaf_interp,98.0,0.17598430909838783,5.839859567998347,11.679719135996693
397.0,323.3330000366466,329.08569486352746,0.5,22.09004,janaf_interp,98.0,0.17605315888233233,5.752694826880866,11.505389653761732
398.0,323.80417113293043,329.4704969660991,0.5,22.10736,janaf_interp,98.0,0.17612092897851364,5.666325833168682,11.332651666337364
399.0,324.2727480132421,329.8535072946601,0.5,22.124679999999998,janaf_interp,98.0,0.1761876359124775,5.580759281418032,11.161518562836063
400.0,324.73875000000004,330.23475168762127,0.5,22.142,janaf_interp,98.0,0.1762532959696244,5.4960016876212086,10.992003375242417
401.0,325.20219624280884,330.57827106807844,0.5,22.15522,janaf_interp,97.99253333333334,0.1763179251982933,5.3760748252695905,10.752149650539181
402.0,325.66310572013083,330.9200830918242,0.5,22.16844,janaf_interp,97.98506666666668,0.17638153941281867,5.256977371693427,10.513954743386854
403.0,326.121497240944,331.26021321790535,0.5,22.18166,janaf_interp,97.9776,0.176444154196561,5.138715976961345,10.27743195392269
404.0,326.5773894463851,331.59868655459695,0.5,22.19488,janaf_interp,97.97013333333334,0.17650578490491076,5.021297108211868,10.042594216423735
405.0,327.0308008113789,331.9355278635908,0.5,22.208099999999998,janaf_interp,97.96266666666668,0.17656644666826507,4.904727052211833,9.809454104423667
406.0,327.4817496462524,332.2707615641515,0.5,22.22132,janaf_interp,97.95520000000002,0.17662615439497725,4.78901191789906,9.57802383579812
407.0,327.9302540983353,332.60441173724536,0.5,22.23454,janaf_interp,97.94773333333336,0.17668492277427916,4.674157638910063,9.348315277820126
