T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_basis_low_J_per_molK,contrib_basis_low_1e-8_per_K,Cv_basis_mid_J_per_molK,contrib_basis_mid_1e-8_per_K,Cv_basis_high_J_per_molK,contrib_basis_high_1e-8_per_K
157.0,63.01082203649547,62.41630119644856,0.5,-0.5945208400469135,-1.189041680093827,5.259388891187801,-170.19372855953472,4.675055672388305,126.35481229285531,2.3188199462483827,106.25521746312796
158.0,64.95533465319981,64.35041789849093,0.5,-0.6049167547088814,-1.2098335094177628,5.2744141643840905,-170.67994612602553,4.709334114599618,127.28127102079796,2.3514209656000773,107.74909300371851
159.0,66.89587595210833,66.28249259976732,0.5,-0.6133833523410084,-1.2267667046820168,5.289245645021026,-171.15989256883148,4.7433895325176625,128.20170197181397,2.383972111547435,109.24068319678476
160.0,68.83196740356846,68.21218595239813,0.5,-0.6197814511703245,-1.239562902340649,5.3038864074363685,-171.63366737346638,4.777221325941202,129.1160889239972,2.4164685035587454,110.72976440186724
161.0,70.76314985019738,70.13916975863462,0.5,-0.6239800915627473,-1.2479601831254945,5.31833946915982,-172.10136818713633,4.8108289816379255,130.0244180059893,2.448905413019014,112.21611993978163
162.0,72.68898470276429,72.06312676263899,0.5,-0.6258579401252992,-1.2517158802505983,5.332607792091595,-172.56309085687826,4.844212070631881,130.92667762366614,2.48127826111819,113.6995399958511
163.0,74.60905519456449,73.98375044072249,0.5,-0.6253047538420075,-1.250609507684015,5.346694283655385,-173.01892946686976,4.877370245529391,131.822858387864,2.51358261666497,115.17982151972828
164.0,76.52296769619488,75.90074479045607,0.5,-0.6222229057388068,-1.2444458114776136,5.360601797925998,-173.46897637491958,4.91030323788514,132.7129530431918,2.545814193834403,116.65676812218383
165.0,78.4303530922744,77.81382411903942,0.5,-0.6165289732349787,-1.2330579464699574,5.37433313673223,-173.91332224815642,4.943010855610185,133.59695639797607,2.5779688498571125,118.13018996921974
166.0,80.33086822087914,79.7227128312874,0.5,-0.6081553895917476,-1.2163107791834953,5.387891050735432,-174.35205609793132,4.975492980423177,134.47486525537414,2.610042582657493,119.59990367384458
167.0,82.22419737500137,81.62714521757613,0.5,-0.597052157425237,-1.194104314850474,5.401278240484085,-174.785265313944,5.007749565346121,135.34667834569075,2.6420315284478444,121.06573218582942
168.0,84.11005386284715,83.52686524205562,0.5,-0.5831886207915412,-1.1663772415830824,5.414497357445047,-175.21303569761358,5.039780632245678,136.21239625992595,2.6739319592849533,122.52750467974317
169.0,85.98818161983992,85.42162633142365,0.5,-0.5665552884162725,-1.133110576832545,5.427551005011789,-175.6354514947052,5.071586269420918,137.07202138457802,2.7057402805953106,123.98505644155084
170.0,87.85835685941744,87.31119116453104,0.5,-0.547165694886397,-1.094331389772794,5.440441739490184,-176.0525954272303,5.103166629238298,137.92555783772303,2.737453028674728,125.43822875403833
171.0,89.72038974190255,89.19533146306551,0.5,-0.5250582788370375,-1.050116557674075,5.45317207106226,-176.46454872463354,5.13452192581444,138.77301140638636,2.76906686816777,126.88686878131271
172.0,91.57412603112664,91.07382778354759,0.5,-0.5002982475790552,-1.0005964951581103,5.465744464728385,-176.8713911542818,5.165652432747166,139.6143894852182,2.8005785895321083,128.33082945261123
173.0,93.41944869805428,92.94646931084658,0.5,-0.47297938720769656,-0.9459587744153931,5.4781613412284615,-177.27320105127424,5.196558480895212,140.44970101648505,2.831985106492512,129.7699693456358
174.0,95.25627942130959,94.81305365341692,0.5,-0.44322576789266876,-0.8864515357853375,5.490425077942381,-177.6700553475807,5.227240456206776,141.2789564313807,2.8632834534889446,131.20415256961698
175.0,97.08457992918034,96.67338664042877,0.5,-0.41119328875155853,-0.8223865775031171,5.502538009770402,-178.062029600531,5.2576987975970715,142.10216759266223,2.8944707831228977,132.63324864829758
176.0,98.90435312991718,98.52728212095641,0.5,-0.3770710089607742,-0.7541420179215484,5.514502429993827,-178.4491980206662,5.2879339948749715,142.9193477386122,2.925544363605784,134.0571324030104
177.0,100.71564399005533,100.37456176537447,0.5,-0.3410822246808585,-0.682164449361717,5.526320591116346,-178.83163349896466,5.317946586718542,143.73051142832267,2.9565015762130153,135.47568383601643
178.0,102.51854014485055,102.21505486909442,0.5,-0.30348527575613,-0.60697055151226,5.537994705686663,-179.20940763346198,5.347737158699516,144.53567448830177,2.987339912747056,136.8887880142546
179.0,104.31317225665215,104.04859815876316,0.5,-0.26457409788900293,-0.5291481957780059,5.549526947102624,-179.5825907552729,5.377306341356357,145.33485396039342,3.0180569730125093,138.29633495364263
180.0,106.09971416450212,105.87503560102974,0.5,-0.22467856347238688,-0.44935712694477375,5.560919450397506,-179.95125195403526,5.406654808315663,146.12806805100374,3.048650462306118,139.69821950406129
181.0,107.87838287057245,107.69421821398167,0.5,-0.18416465659078046,-0.3683293131815609,5.57217431300866,-180.3154591027835,5.435783274461594,146.9153360816254,3.0791181889242387,141.09434123513975
182.0,109.64943835696987,109.50600388133132,0.5,-0.1434344756385561,-0.2868689512771122,5.58329359552911,-180.67527888227025,5.464692494152886,147.69667844064807,3.1094580616902423,142.4846043229535
183.0,111.41318308730922,111.31025716943242,0.5,-0.10292591787680128,-0.20585183575360255,5.594279322442379,-181.03077680474536,5.493383259487026,148.47211653644334,3.139668087503998,143.86891743773444
184.0,113.16996079560849,113.1068491471874,0.5,-0.06311164842108823,-0.12622329684217645,5.605133482841016,-181.38201723720752,5.521856398611003,149.24167275170882,3.169746368915471,145.2471936326861
185.0,114.92015379677153,114.89565720890864,0.5,-0.02449658786289358,-0.04899317572578716,5.615858031129147,-181.72906342413845,5.550112774078208,150.0053703990592,3.1996911017242775,146.6193502339879
186.0,116.66417760359774,116.67656490017362,0.5,0.012387296575879654,0.024774593151759308,5.626454887709537,-182.07197750973668,5.5781532812507875,150.76323367784616,3.229500572606833,147.98530873206414
187.0,118.40247119292495,118.44946174672008,0.5,0.04699055379512896,0.09398110759025792,5.636925939655379,-182.4108205596563,5.605978846746864,151.51528763219045,3.25917315677259,149.34499467418593
188.0,120.1354809717221,120.21424308641222,0.5,0.07876211469012898,0.15752422938025795,5.647273041367313,-182.74565258226818,5.633590426932017,152.2615581102106,3.2887073156507625,150.6983375584698
189.0,121.86363653632174,121.97080990429912,0.5,0.10717336797737274,0.2143467359547455,5.657498015215982,-183.07653254945305,5.660989006454234,153.00207172442646,3.3181015946086685,152.04527072932564
190.0,123.58731688045648,123.7190686707922,0.5,0.13175179033572573,0.26350358067145147,5.667602652170403,-183.4035184169356,5.688175596821766,153.73685581332214,3.347354620702838,153.38573127440569
