Z,N_parent,A_parent,symbol,N_chain_min,N_chain_max,n_chain_isotopes,distance_proton_edge,distance_neutron_edge,edge_class,S_n_obs_MeV,S_n_pred_before_MeV,S_n_pred_after_MeV,resid_before_MeV,resid_after_MeV,abs_resid_before_MeV,abs_resid_after_MeV
85,128,213,At,106,144,39,22,16,interior,6.022686799999974,-0.19087682768668657,-0.6471308165302077,-6.213563627686661,-6.669817616530182,6.213563627686661,6.669817616530182
85,129,214,At,106,144,39,23,15,interior,4.870957999999973,-0.19005465937107857,0.17327206480374002,-5.061012659371052,-4.697685935196233,5.061012659371052,4.697685935196233
85,130,215,At,106,144,39,24,14,interior,5.948755699999765,-0.18923584796526427,-0.5315502447430163,-6.137991547965029,-6.480305944742781,6.137991547965029,6.480305944742781
85,131,216,At,106,144,39,25,13,interior,4.558037900000272,-0.18842040682762473,0.07558422502614093,-4.746458306827897,-4.482453674974131,4.746458306827897,4.482453674974131
85,132,217,At,106,144,39,26,12,interior,5.933413999999857,-0.18760834820433558,-0.39794228647387797,-6.1210223482041926,-6.331356286473735,6.1210223482041926,6.331356286473735
85,133,218,At,106,144,39,27,11,interior,4.365682600000127,-0.18679968326866003,-0.032714125769096825,-4.5524822832687875,-4.398396725769224,4.5524822832687875,4.398396725769224
85,134,219,At,106,144,39,28,10,interior,5.775527999999895,-0.1859944221601495,-0.2846557386190156,-5.961522422160044,-6.06018373861891,5.961522422160044,6.06018373861891
85,135,220,At,106,144,39,29,9,interior,4.091583000000128,-0.18519257402123657,-0.06584522131808512,-4.276775574021364,-4.157428221318213,4.276775574021364,4.157428221318213
85,136,221,At,106,144,39,30,8,interior,5.664337400000022,-0.18439414703357926,-0.34077166757609945,-5.848731547033601,-6.005109067576122,5.848731547033601,6.005109067576122
85,137,222,At,106,144,39,31,7,interior,3.901028199999928,-0.18359914845228786,-0.06565179140566357,-4.084627348452216,-3.9666799914055915,4.084627348452216,3.9666799914055915
85,138,223,At,106,144,39,32,6,interior,5.596329499999911,-0.1828075846397681,-0.2628944909875699,-5.779137084639679,-5.859223990987481,5.779137084639679,5.859223990987481
85,139,224,At,106,144,39,33,5,interior,3.7883084999998573,-0.18201946109785183,-0.1403098801482301,-3.970327961097709,-3.9286183801480874,3.970327961097709,3.9286183801480874
85,140,225,At,106,144,39,34,4,interior,5.460270400000127,-0.18123478249952285,-0.304628618992524,-5.64150518249965,-5.764899018992651,5.64150518249965,5.764899018992651
85,141,226,At,106,144,39,35,3,interior,3.798999999999978,-0.18045355271835462,-0.3627583949362503,-3.979453552718333,-4.1617583949362285,3.979453552718333,4.1617583949362285
85,142,227,At,106,144,39,36,2,neutron_rich_edge,5.12700000000018,-0.179675774858282,-0.4691274598183952,-5.306675774858462,-5.596127459818575,5.306675774858462,5.596127459818575
85,143,228,At,106,144,39,37,1,neutron_rich_edge,3.7369999999998527,-0.17890145128164647,-0.22157373467761232,-3.915901451281499,-3.958573734677465,3.915901451281499,3.958573734677465
85,144,229,At,106,144,39,38,0,neutron_rich_edge,5.076999999999998,-0.17813058363638135,0.8086710655777622,-5.2551305836363795,-4.268328934422236,5.2551305836363795,4.268328934422236
86,108,194,Rn,107,145,39,1,37,proton_rich_edge,11.389614400000028,-0.20710838250342078,1.7467440838124517,-11.596722782503448,-9.642870316187576,11.596722782503448,9.642870316187576
86,109,195,Rn,107,145,39,2,36,proton_rich_edge,8.745656099999906,-0.20622679572768732,-0.38593225464821046,-8.951882895727593,-9.131588354648116,8.951882895727593,9.131588354648116
86,110,196,Rn,107,145,39,3,35,interior,11.146436500000164,-0.20534803572537186,-2.59253739539362,-11.351784535725535,-13.738973895393784,11.351784535725535,13.738973895393784
86,111,197,Rn,107,145,39,4,34,interior,8.536106999999902,-0.20447214681998105,-0.2815394446469526,-8.740579146819883,-8.817646444646854,8.740579146819883,8.817646444646854
86,112,198,Rn,107,145,39,5,33,interior,10.812008000000105,-0.2035991711225691,-0.3126685466916257,-11.015607171122674,-11.124676546691731,11.015607171122674,11.124676546691731
86,113,199,Rn,107,145,39,6,32,interior,8.400852199999918,-0.2027291486101177,-0.12642991061943576,-8.603581348610035,-8.527282110619353,8.603581348610035,8.527282110619353
86,114,200,Rn,107,145,39,7,31,interior,10.511916800000108,-0.20186211720128,-0.23615979204375037,-10.713778917201388,-10.748076592043859,10.713778917201388,10.748076592043859
86,115,201,Rn,107,145,39,8,30,interior,8.178277399999843,-0.20099811282967295,-0.010427132348610257,-8.379275512829516,-8.188704532348453,8.379275512829516,8.188704532348453
86,116,202,Rn,107,145,39,9,29,interior,10.238466200000175,1.0823053611406266,0.9522252316584812,-9.156160838859549,-9.286240968341694,9.156160838859549,9.286240968341694
86,117,203,Rn,107,145,39,10,28,interior,7.980807500000083,-1.481721850079218,-1.5338310463544147,-9.4625293500793,-9.514638546354497,9.4625293500793,9.514638546354497
86,118,204,Rn,107,145,39,11,27,interior,9.857386099999985,1.8167628077468407,1.8637524793909677,-8.040623292253144,-7.9936336206090175,8.040623292253144,7.9936336206090175
86,119,205,Rn,107,145,39,12,26,interior,7.810975799999824,0.2895603489882532,0.17421337703522255,-7.5214154510115705,-7.636762422964601,7.5214154510115705,7.636762422964601
86,120,206,Rn,107,145,39,13,25,interior,9.494457199999943,-0.09581298566632057,-0.04105658593849171,-9.590270185666263,-9.535513785938434,9.590270185666263,9.535513785938434
86,121,207,Rn,107,145,39,14,24,interior,7.573140700000067,0.22699393672537127,0.16923689584817936,-7.346146763274696,-7.403903804151888,7.346146763274696,7.403903804151888
86,122,208,Rn,107,145,39,15,23,interior,9.091971499999772,-0.10987026303999414,-0.07214561840331157,-9.201841763039766,-9.164117118403084,9.201841763039766,9.164117118403084
86,123,209,Rn,107,145,39,16,22,interior,7.356977100000222,0.19150172179266178,0.13628817236590152,-7.16547537820756,-7.2206889276343205,7.16547537820756,7.2206889276343205
86,124,210,Rn,107,145,39,17,21,interior,8.735033499999872,-0.09630254822295825,-0.10121214226030872,-8.83133604822283,-8.836245642260181,8.83133604822283,8.836245642260181
86,125,211,Rn,107,145,39,18,20,interior,7.221880199999987,0.08416311454453762,-0.3311777044242703,-7.137717085455449,-7.553057904424257,7.137717085455449,7.553057904424257
