T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,residual_1e-8_per_K,z,Cv_TA_J_per_molK,Cv_LA_J_per_molK,Cv_opt_J_per_molK,contrib_TA_1e-8_per_K,contrib_LA_1e-8_per_K,contrib_opt_1e-8_per_K
496.0,359.87878206505326,359.09768108756265,0.5,-0.7811009774906155,-1.562201954981231,8.164221420527054,3.8662933641944077,10.761839967641983,-112.98183799572823,60.71710668254095,411.3624124007499
497.0,360.16507922109696,359.35339753340145,0.5,-0.811681687695522,-1.623363375391044,8.164832690056018,3.867438976814228,10.768280516597786,-112.9902971434333,60.735097630744384,411.6085970460904
498.0,360.4500690671592,359.6077449449366,0.5,-0.8423241222225575,-1.684648244445115,8.16544031464213,3.8685780600630344,10.774686612569633,-112.99870585003424,60.7529860402941,411.8534647546768
499.0,360.73375991243375,359.86073263936095,0.5,-0.8730272730727839,-1.7460545461455679,8.166044322951825,3.8697106623654123,10.781058489792231,-113.00706451223593,60.77077267166027,412.09702447993664
500.0,361.01616000000007,360.11236985889764,0.5,-0.9037901411024422,-1.8075802822048843,8.166644743372098,3.8708368317075044,10.787396380617936,-113.0153735228762,60.788458278427626,412.3392851033462
501.0,361.29727750743905,360.3626657714698,0.5,-0.9346117359692923,-1.8692234719385845,8.167241604013695,3.87195661564167,10.793700515533514,-113.02363327096991,60.80604360736872,412.58025543507097
502.0,361.5771205474447,360.61162947137086,0.5,-0.9654910760737873,-1.9309821521475745,8.167834932714364,3.8730700612910582,10.799971123176972,-113.03184414175408,60.82352939851567,412.8199442146093
503.0,361.8556971684276,360.8592699799186,0.5,-0.9964271885089714,-1.9928543770179428,8.16842475704198,3.874177215354152,10.806208430353927,-113.04000651673094,60.84091638523153,413.058360111418
504.0,362.1330153551133,361.10559624611085,0.5,-1.0274191090024152,-2.0548382180048304,8.169011104297665,3.8752781241092347,10.81241266205408,-113.04812077371136,60.858205294280474,413.29551172554176
505.0,362.40908302913425,361.3506171472733,0.5,-1.0584658818609474,-2.1169317637218947,8.16959400151887,3.8763728334188277,10.818584041467423,-113.05618728685721,60.875396845897455,413.5314075882331
506.0,362.68390804961535,361.594341489699,0.5,-1.0895665599164024,-2.1791331198328048,8.170173475482416,3.8774613887340617,10.824722790000296,-113.06420642672369,60.89249175385684,413.7660561625658
507.0,362.9574982137536,361.8367780092836,0.5,-1.1207202044699696,-2.241440408939939,8.170749552707479,3.878543835098973,10.83082912729132,-113.0721785603005,60.90949072553993,413.9994658440442
508.0,363.2298612573918,362.07793537215565,0.5,-1.1519258852361627,-2.3038517704723254,8.171322259458533,3.8796202171548,10.836903271227175,-113.08010405105261,60.926394462002364,414.2316449612059
509.0,363.5010048555864,362.3178221752977,0.5,-1.183182680288694,-2.366365360577388,8.171891621748255,3.8806905791441944,10.842945437958184,-113.08798325896049,60.943203658040325,414.46260177621787
510.0,363.77093662316906,362.5564469471666,0.5,-1.2144896760024955,-2.428979352004991,8.172457665340437,3.8817549649153804,10.848955841913874,-113.09581654056032,60.959919002255795,414.6923444854711
511.0,364.0396641153031,362.79381814830356,0.5,-1.2458459669995083,-2.4916919339990167,8.173020415752788,3.882813417926275,10.85493469581827,-113.10360424898289,60.976541177121284,414.92088122016514
512.0,364.30719482803346,363.02994417193736,0.5,-1.2772506560960817,-2.5545013121921634,8.173579898259776,3.8838659812485536,10.860882210705029,-113.11134673399279,60.99307085904372,415.1482200468865
513.0,364.5735361988317,363.2648333445918,0.5,-1.3087028542398698,-2.6174057084797395,8.174136137895317,3.8849126975716914,10.866798595932636,-113.11904434202575,61.009508718427824,415.3743689681897
514.0,364.83869560713475,363.4984939266723,0.5,-1.3402016804623975,-2.680403360924795,8.174689159455575,3.8859536092069074,10.872684059199162,-113.1266974162273,61.02585541973812,415.5993359231615
515.0,365.1026803748787,363.7309341130595,0.5,-1.3717462618191747,-2.7434925236383494,8.175238987501615,3.8869887580911184,10.878538806557112,-113.13430629648954,61.04211162156104,415.82312878798797
516.0,365.3654977670264,363.9621620336914,0.5,-1.4033357333349368,-2.8066714666698735,8.175785646362074,3.888018185790797,10.884363042428049,-113.14187131948808,61.058277976665444,416.0457553765141
