T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,Cv_debye_J_per_molK,A_eff_pred_mol_per_J,residual_1e-8_per_K,z
429.0,337.21369254899867,336.82451708508063,0.5,22.50536852716962,1.4966407534204518e-07,-0.3891754639180406,-0.7783509278360812
430.0,337.6106327493177,337.0743142467452,0.5,22.51589205113938,1.4970506763896484e-07,-0.5363185025724976,-1.0726370051449952
431.0,338.0055191172411,337.3221796851567,0.5,22.526349373531236,1.4974560417744156e-07,-0.6833394320843684,-1.3666788641687369
432.0,338.3983662043388,337.5681723084653,0.5,22.536741032297464,1.497857085124666e-07,-0.83019389587346,-1.66038779174692
433.0,338.78918843593556,337.81235106981404,0.5,22.54706756012199,1.4982540419903116e-07,-0.9768373661215347,-1.9536747322430694
434.0,339.1780001123474,338.05477496635814,0.5,22.557329484479897,1.498647147921254e-07,-1.1232251459892504,-2.2464502919785008
435.0,339.5648154101045,338.2955030383005,0.5,22.567527327695498,1.4990366384674092e-07,-1.2693123718039612,-2.5386247436079223
436.0,339.9496483831636,338.5345943679466,0.5,22.577661607000493,1.4994227491786822e-07,-1.4150540152169844,-2.8301080304339687
437.0,340.3325129641071,338.77210807877424,0.5,22.58773283459069,1.4998057156049814e-07,-1.5604048853328705,-3.120809770665741
438.0,340.7134229653298,339.00810333452785,0.5,22.597741517682604,1.5001857732962207e-07,-1.7053196308019571,-3.4106392616039143
439.0,341.0923920802151,339.2426393383203,0.5,22.607688158568948,1.5005631578023067e-07,-1.8497527418947937,-3.6995054837895873
440.0,341.46943388429753,339.47577533175775,0.5,22.617573254673594,1.5009381046731437e-07,-1.9936585525398078,-3.9873171050796157
441.0,341.8445618364156,339.7075705940847,0.5,22.627397298605988,1.501310849458648e-07,-2.1369912423308985,-4.273982484661797
442.0,342.2177892798508,339.9380844413342,0.5,22.637160778214593,1.501681627708726e-07,-2.279704838516653,-4.559409677033306
443.0,342.58912944345695,340.1673762255039,0.5,22.646864176639994,1.5020506749732843e-07,-2.4217532179530097,-4.843506435906019
444.0,342.95859544277664,340.3955053337443,0.5,22.65650797236711,1.5024182268022325e-07,-2.563090109032292,-5.126180218064584
445.0,343.3262002811471,340.62253118756246,0.5,22.666092639276872,1.5027845187454837e-07,-2.70366909358467,-5.40733818716934
446.0,343.691956850795,340.8485132420381,0.5,22.675618646697274,1.5031497863529428e-07,-2.8434436087569224,-5.686887217513845
447.0,344.05587793391913,341.07351098506155,0.5,22.685086459453846,1.503514265174518e-07,-2.9823669488576128,-5.9647338977152256
448.0,344.4179762037628,341.2975839365774,0.5,22.69449653791915,1.5038781907601235e-07,-3.120392267185452,-6.240784534370904
449.0,344.7782642256753,341.5207916478498,0.5,22.70384933806236,1.5042417986596658e-07,-3.2574725778254314,-6.514945155650863
450.0,345.1367544581618,341.7431937007372,0.5,22.713145311497602,1.50460532442305e-07,-3.393560757424588,-6.787121514849176
451.0,345.4934592539236,341.9648497069835,0.5,22.722384905531893,1.5049690036001908e-07,-3.528609546940148,-7.057219093880296
452.0,345.8483908608862,342.1858193075193,0.5,22.73156856321267,1.5053330717409935e-07,-3.6625715533668872,-7.3251431067337744
453.0,346.2015614232179,342.4061621717799,0.5,22.74069672337447,1.505697764395367e-07,-3.7953992514380523,-7.590798502876105
454.0,346.55298298233845,342.6259379970381,0.5,22.74976982068542,1.5060633171132247e-07,-3.9270449853003306,-7.854089970600661
455.0,346.9026674779152,342.84520650773806,0.5,22.758788285692475,1.5064299654444736e-07,-4.057460970177165,-8.11492194035433
456.0,347.25062674885123,343.0640274548579,0.5,22.767752544867033,1.5067979449390202e-07,-4.186599293993325,-8.37319858798665
