T_K,alpha_obs_1e-8_per_K,alpha_pred_1e-8_per_K,sigma_fit_1e-8_per_K,z,alpha_contrib_D_1e-8_per_K,alpha_contrib_E1_1e-8_per_K,alpha_contrib_E2_1e-8_per_K
409.0,328.8200016379625,330.0406494978064,0.5,2.4412957196877163,220.19554593581532,-149.72293047932527,259.5680340413163
410.0,329.26128021938166,330.4731157517892,0.5,2.4236710648150552,220.31383811081832,-149.73980249639186,259.8990801373627
411.0,329.70018540886053,330.9030143086085,0.5,2.4056577994958612,220.43135777656465,-149.75655376514248,260.2282102971863
412.0,330.1367345622466,331.3303639626656,0.5,2.3872588008380524,220.5481114259177,-149.7731854295852,260.5554379663331
413.0,330.5709448816926,331.7551833550713,0.5,2.368476946757447,220.66410548629528,-149.78969862027785,260.88077648905386
414.0,331.00283341715766,332.1774909748554,0.5,2.3493151153954277,220.77934632041968,-149.80609445451626,261.204239108952
415.0,331.4324170678942,332.597305160175,0.5,2.32977618456151,220.8938402270615,-149.8223740365194,261.52583896963284
416.0,331.8597125839213,333.0146440995146,0.5,2.3098630311866675,221.0075934417716,-149.8385384576116,261.84558911535464
417.0,332.28473656748395,333.42952583288104,0.5,2.2895785307941883,221.12061213760506,-149.8545887964025,262.1635024916785
418.0,332.70750547449876,333.8419682529934,0.5,2.26892555698934,221.23290242583676,-149.87052611896303,262.4795919461197
419.0,333.1280356159856,334.2519891064659,0.5,2.247906980960636,221.34447035666633,-149.8863514789989,262.7938702287985
420.0,333.54634315948607,334.659605994985,0.5,2.2265256709978725,221.45532191991515,-149.90206591802203,263.1063499930919
421.0,333.96244413046793,335.06483637648057,0.5,2.204784492025331,221.56546304571566,-149.9176704655184,263.41704379628334
422.0,334.3763544137167,335.4676975662914,0.5,2.1826863051494607,221.67489960519012,-149.93316613911347,263.72596410021475
423.0,334.788089754713,335.86820673832443,0.5,2.1602339672229114,221.78363741112364,-149.94855394473475,264.03312327193555
424.0,335.1976657609973,336.26638092620493,0.5,2.1374303304152567,221.8916822186252,-149.96383487677267,264.33853358435243
425.0,335.60509790352125,336.66223702442414,0.5,2.114278241805827,221.99903972578386,-149.9790099182375,264.6422072168778
426.0,336.01040151798554,337.05579178947727,0.5,2.0907805429833988,222.1057155743144,-149.99408004091518,264.9441562560781
427.0,336.41359180616485,337.4470618409971,0.5,2.0669400696645246,222.21171535019718,-150.0090462055196,265.2443926963195
428.0,336.8146838372204,337.8360636628792,0.5,2.0427596513176174,222.31704458430778,-150.02390936184312,265.5429284404146
429.0,337.21369254899867,338.22281360440127,0.5,2.018242110805166,222.42170875304035,-150.0386704489044,265.83977530026533
430.0,337.6106327493177,338.6073278813347,0.5,1.9933902640339927,222.52571327892196,-150.0533303950944,266.1349449975071
431.0,338.0055191172411,338.9896225770513,0.5,1.9682069196205085,222.62906353122148,-150.06789011831924,266.4284491641491
432.0,338.3983662043388,339.36971364362176,0.5,1.9426948785659588,222.731764826549,-150.0823505261415,266.72029934321426
433.0,338.78918843593556,339.74761690290507,0.5,1.916856933938956,222.83382242944694,-150.09671251591953,267.01050698937763
434.0,339.1780001123474,340.1233480476369,0.5,1.8906958705791028,222.93524155297845,-150.1109769749435,267.29908346960195
435.0,339.5648154101045,340.49692264250314,0.5,1.8642144647973118,223.03602735930153,-150.12514478057042,267.58604006377203
436.0,339.9496483831636,340.86835612521355,0.5,1.8374154840998425,223.13618496024358,-150.13921680035688,267.8713879653268
437.0,340.3325129641071,341.2376638075631,0.5,1.8103016869119137,223.23571941786193,-150.15319389218908,268.15513828189023
438.0,340.7134229653298,341.6048608764895,0.5,1.782875822319444,223.3346357450033,-150.16707690441177,268.43730203589797
439.0,341.0923920802151,341.9699623951222,0.5,1.7551406298140946,223.43293890585238,-150.18086667595432,268.71789016522416
440.0,341.46943388429753,342.3329833038231,0.5,1.727098839051102,223.53063381647465,-150.1945640364557,268.9969135238041
441.0,341.8445618364156,342.69393842122327,0.5,1.6987531696152436,223.62772534535452,-150.2081698063867,269.27438288225545
442.0,342.2177892798508,343.0528424452489,0.5,1.6701063307962043,223.72421831392333,-150.2216847971712,269.55030892849686
443.0,342.58912944345695,343.4097099541431,0.5,1.6411610213724137,223.8201174970842,-150.23510981130462,269.8247022683636
444.0,342.95859544277664,343.7645554074773,0.5,1.611919929401405,223.915427623728,-150.24844564247144,270.0975734262208
445.0,343.3262002811471,344.11739314715885,0.5,1.582385732023389,224.01015337724428,-150.2616930756602,270.36893284557476
446.0,343.691956850795,344.46823739842864,0.5,1.5525610952672821,224.1042993960256,-150.27485288727732,270.63879088968037
447.0,344.05587793391913,344.8171022708539,0.5,1.5224486738695282,224.19787027396652,-150.28792584525888,270.9071578421463
448.0,344.4179762037628,345.16400175930926,0.5,1.4920511110928312,224.29087056095256,-150.30091270918095,271.1740439075376
449.0,344.7782642256753,345.5089497449579,0.5,1.4613710385652203,224.38330476335037,-150.31381423036763,271.43945921197513
450.0,345.1367544581618,345.85195999621885,0.5,1.4304110761141156,224.47517734448556,-150.32663115199858,271.7034138037319
451.0,345.4934592539236,346.1930461697293,0.5,1.399173831611406,224.5664927251162,-150.33936420921393,271.96591765382703
452.0,345.8483908608862,346.5322218113007,0.5,1.3676619008291147,224.65725528390277,-150.3520141292181,272.22698065661604
453.0,346.2015614232179,346.8695003568664,0.5,1.3358778672969287,224.74746935786956,-150.36458163138178,272.4866126303786
454.0,346.55298298233845,347.20489513342415,0.5,1.3038243021714162,224.8371392428638,-150.3770674273428,272.7448233179032
455.0,346.9026674779152,347.5384193599657,0.5,1.2715037641010096,224.92626919400308,-150.38947222110502,273.0016223870677
456.0,347.25062674885123,347.87008614840823,0.5,1.2389187991140287,225.0148634261261,-150.40179670913642,273.25701943141854
457.0,347.5968725342621,348.1999085045106,0.5,1.2060719404968758,225.1029261142299,-150.41404158046456,273.5110239707452
458.0,347.94141647444263,348.527899328786,0.5,1.1729657086867185,225.19046139390588,-150.42620751677217,273.7636454516523
459.0,348.284270111824,348.85407141740745,0.5,1.1396026111668793,225.27747336176978,-150.43829519249002,274.01489324812763
460.0,348.6254448919208,349.178437463106,0.5,1.1059851423704445,225.36396607588688,-150.45030527488896,274.26477666210803
461.0,348.96495216426797,349.50101005606155,0.5,1.07211578358709,225.4499435561911,-150.46223842417095,274.5133049240414
462.0,349.30280318334866,349.8218016847857,0.5,1.0379970028740584,225.53540978489886,-150.4740952935581,274.76048719344493
463.0,349.639009109512,350.1408247369996,0.5,1.0036312549750976,225.62036870691904,-150.48587652938045,275.00633255946104
464.0,349.9735810098815,350.4580915005035,0.5,0.9690209812439744,225.7048242302575,-150.4975827711633,275.2508500414093
465.0,350.3065298592541,350.7736141640383,0.5,0.9341686095684102,225.78878022641572,-150.50921465171206,275.4940485893346
466.0,350.6378665409895,351.0874048181448,0.5,0.8990765543107042,225.8722405307885,-150.52077279719703,275.73593708455337
467.0,350.96760184789105,351.39947545600785,0.5,0.8637472162336185,225.9552089430491,-150.53225782723584,275.97652434019454
468.0,351.2957464830768,351.7098379743022,0.5,0.8281829824508259,226.0376892275392,-150.54367035497575,276.2158191017388
